Total birth
5128
4484
4543
4661
4665
4389
4858
5036
5376
5302
4883
5339
4847
4447
4907
4582
4509
4562
4705
5298
5530
5286
5275
5452
4803
4290
4735
4454
4566
4656
4740
5377
5462
5204
5220
5124
4483
4183
4528
4013
4647
4416
4496
5426
5315
5228
5012
5037
4732
4028
4335
4152
4436
4117
4301
5099
4995
5009
4805
4661
4572
4056
4106
4092
4249
4104
4444
4915
4877
4838
4368
4967
4407
3941
4201
4100
4010
3983
4263
4533
4952
4710
4381
4973
4211
3841
4261
3664
3842
3909
3912
4388
4603
4351
4190
4453
3845
3486
3964
3604
3689
3922
3830
4381
4676
4274
4253
4336
4041
3660
3611
3404
3728
3532
3827
4110
4070
4311
3981
3941
3623
3146
3216
3334
3485
3192
3481
3558
3831
3896
3560
3647
3682
3115
3208
3111
3163
2982
3353
3404
3629
3487
3258
3610
3414
2952
3204
2994
3066
2831
2983
3053
3635
3344
3229
3428
3080
2831
2967
2771
2924
2908
2751
3077
3160
2904
2896
2916
2604
2304
2549
2386
2506
2404
2395
2601
2588
2579
2573
2362
2168
1913
1955
1945
1978
2080
2137
2365
2357
2451
2364
2206
2207
1912
2001
1918
2024
1862
2133
2060
2128
2157
1972
1999
2058
1836
1918
1847
1952
1816
1994
2031
2185
2076
1850
1921
1773
1553
1883
1793
1827
1973
1943
2084
2235
2136
2113
2145
1918
1762
1951
1821
1828
1841
1852
2037
1970
1954
2030
2047
1923
1678
1852
1668
1854
1811
1789
2028
2026
2052
1882
1878
